feature_1,feature_2,feature_3,feature_4,feature_5,Target_regression
-0.6745577099432595,23,0.848030256511452,0.46422999262419606,0.336935057298282,-4.165621224956386
1.2396626991620352,30,0.2264406203310816,0.4711757129556081,0.25311395402360226,2.6889063931647432
0.5061172892523046,22,0.3506864904974013,0.5742334536181946,0.4089366015639,-2.772457025756079
-3.2994450914199125,21,0.5923364801000734,0.06689171080164125,0.6193237524059322,13.94769148427677
0.3109498114561865,20,0.049898637457442385,0.698753562921908,0.26692282099911935,0.2111696394959509
-1.1121891897408287,20,0.5733458084199712,0.8807931599568446,0.47550482182113574,-7.283948101625973
-1.757741067516523,29,0.07656361466490236,0.4938848942633258,0.9807869938546315,0.9145186647231411
0.5874394163935467,16,0.41478246130523333,0.23439488583354773,0.24969324903523826,1.069079923807612
-0.12092987255223087,18,0.7578049268263248,0.30738385943601565,0.1377693363156305,-0.27211647675590234
-2.424160683885381,23,0.2386058877840862,0.15362038137092215,0.49127140298490657,6.3857707891109605
-0.455029158105888,23,0.29843812688511495,0.6210555545150412,0.7276203702273595,3.2044742768609336
3.2156120507605266,22,0.2749264472284362,0.4979689888344847,0.4620338444055473,-4.858975670555774
-0.8575121134824398,13,0.6148149526556361,0.460764635840778,0.3091366414141341,-0.2436381927504584
-0.6081512110050562,21,0.360279992361924,0.37290569368012616,0.6426426851861329,1.4528168120873504
-1.6480892629998376,23,0.3080207377625931,0.0628751162397877,0.0878722019482504,0.20961506605516428
-1.1875888305862408,31,0.9440074039032222,0.43934880284622024,0.3653856391309779,8.08117848581563
-0.02952976968930818,26,0.7858330250514134,0.9393231394453297,0.30830905575296796,-0.30422385165346494
1.538361156144178,25,0.9149152418088552,0.47208964643592854,0.4837226403118411,15.745540360188027
0.10912877300350371,18,0.14969261248271604,0.7333913432475374,0.8594231784597667,0.040500381054308136
-0.3959130096710725,20,0.27725529349106937,0.465582485550067,0.7524500087498738,1.1172413427893542
0.9333801678953089,21,0.4362838911681629,0.6259830067575314,0.7251377801454165,2.8085057989066784
-2.0413140273780055,21,0.7795354185932938,0.09583822906525286,0.2757135501107282,-2.270185619213165
2.8583694673296867,16,0.11726736554258566,0.614051638244679,0.8123025468429529,-0.38172897015848783
0.505510251872119,14,0.12411152749485665,0.31514806745077173,0.6500765194840603,0.1245643815746829
1.0544436442139156,30,0.48837368271637316,0.9025974451459821,0.31024122177996794,0.3580676376524093
-0.9552367008941375,23,0.2788325511313381,0.7237314285207513,0.005435152485191441,1.01744369072511
-0.47331067176628394,12,0.9759681166158015,0.3602261306239567,0.3937325012847652,2.231713640752111
-0.3567452881813706,21,0.7062932123793644,0.28312258190228146,0.7371083722663224,-0.005872791530683053
-0.18468785242692434,23,0.017375963661256932,0.8434360150711723,0.2959660320045171,-0.0036772573259537646
